515,523,78
79,217,21
26,41,5
2,12,1
43,52,7
11,31,3
185,236,31
7,6,1
67,113,13
474,420,68
273,245,39
316,276,45
58,60,9
114,95,16
138,215,26
17,9,2
257,281,40
408,359,58
43,22,5
12,17,2
78,82,12
216,140,27
36,43,6
313,311,47
458,596,79
63,83,11
214,124,26
35,61,7
125,123,19
103,157,19
178,169,26
194,229,31
32,20,4
650,593,94
36,44,6
41,85,9
100,70,13
151,220,27
39,26,5
80,50,10
31,8,3
75,72,11
387,363,57
206,202,31
124,84,16
317,250,43
80,123,15
88,29,9
305,615,66
140,71,16
32,48,6
167,208,28
117,179,22
159,190,26
68,108,13
103,66,13
234,388,45
152,181,25
101,141,18
109,164,20
220,224,33
285,190,36
438,310,57
126,139,20
